ds,department,y
2020-01-01,Books,675.09
2020-01-01,Clothing,4566.68
2020-01-01,Food,11414.95
2020-01-01,Home Essentials,1965.54
2020-01-01,Kitchen & Cooking,3969.2700000000004
2020-01-01,Small Electronics,862.88
2020-01-01,Stationery,1125.78
2020-01-01,Utensils,2162.16
2020-01-02,Utensils,2673.93
2020-01-02,Stationery,777.0
2020-01-02,Kitchen & Cooking,3978.81
2020-01-02,Small Electronics,3786.42
2020-01-02,Food,9955.56
2020-01-02,Clothing,4969.17
2020-01-02,Books,0.0
2020-01-02,Home Essentials,2991.52
2020-01-03,Books,1014.7
2020-01-03,Clothing,6764.53
2020-01-03,Food,13607.8
2020-01-03,Home Essentials,1402.96
2020-01-03,Kitchen & Cooking,2127.34
2020-01-03,Small Electronics,2158.65
2020-01-03,Stationery,1056.07
2020-01-03,Utensils,2746.65
2020-01-04,Stationery,862.79
2020-01-04,Utensils,2645.18
2020-01-04,Kitchen & Cooking,5056.530000000001
2020-01-04,Small Electronics,2083.5299999999997
2020-01-04,Food,13692.82
2020-01-04,Clothing,5849.46
2020-01-04,Books,0.0
2020-01-04,Home Essentials,3215.1400000000003
2020-01-05,Books,2454.97
2020-01-05,Clothing,4541.61
2020-01-05,Food,14158.13
2020-01-05,Home Essentials,3507.33
2020-01-05,Kitchen & Cooking,81.37
2020-01-05,Small Electronics,6810.66
2020-01-05,Stationery,1188.43
2020-01-05,Utensils,1260.48
2020-01-06,Utensils,1072.6399999999999
2020-01-06,Stationery,1116.75
2020-01-06,Small Electronics,3187.68
2020-01-06,Kitchen & Cooking,4726.91
2020-01-06,Home Essentials,2115.05
2020-01-06,Clothing,1903.9299999999998
2020-01-06,Books,1666.0800000000002
2020-01-06,Food,8544.460000000001
2020-01-07,Books,217.71
2020-01-07,Clothing,7498.35
2020-01-07,Food,9463.5
2020-01-07,Home Essentials,3524.9500000000003
2020-01-07,Kitchen & Cooking,4035.8
2020-01-07,Small Electronics,7110.200000000001
2020-01-07,Stationery,1247.68
2020-01-07,Utensils,3870.7799999999997
2020-01-08,Small Electronics,4164.22
2020-01-08,Utensils,1268.1399999999999
2020-01-08,Stationery,745.9399999999999
2020-01-08,Kitchen & Cooking,3072.9300000000003
2020-01-08,Clothing,4600.3
2020-01-08,Food,10663.52
2020-01-08,Home Essentials,3562.54
2020-01-08,Books,1638.85
2020-01-09,Books,905.07
2020-01-09,Clothing,4343.41
2020-01-09,Food,12546.72
2020-01-09,Home Essentials,2607.82
2020-01-09,Kitchen & Cooking,1505.25
2020-01-09,Small Electronics,5624.95
2020-01-09,Stationery,1375.03
2020-01-09,Utensils,3990.35
2020-01-10,Utensils,2634.57
2020-01-10,Stationery,1101.67
2020-01-10,Small Electronics,0.0
2020-01-10,Kitchen & Cooking,5862.45
2020-01-10,Food,7555.71
2020-01-10,Clothing,6661.46
2020-01-10,Books,3305.46
2020-01-10,Home Essentials,1179.7199999999998
2020-01-11,Books,1822.81
2020-01-11,Clothing,2238.02
2020-01-11,Food,10897.09
2020-01-11,Home Essentials,4363.38
2020-01-11,Kitchen & Cooking,10473.960000000001
2020-01-11,Small Electronics,2075.48
2020-01-11,Stationery,801.31
2020-01-11,Utensils,1898.52
2020-01-12,Small Electronics,1493.48
2020-01-12,Utensils,1610.55
2020-01-12,Stationery,1375.13
2020-01-12,Kitchen & Cooking,3003.8199999999997
2020-01-12,Books,2120.2
