ds,y
2020-01-01,26742.35
2020-01-02,29132.41
2020-01-03,30878.7
2020-01-04,33405.45
2020-01-05,34002.979999999996
2020-01-06,24333.5
2020-01-07,36968.97
2020-01-08,29716.44
2020-01-09,32898.6
2020-01-10,28301.04
2020-01-11,34570.57
2020-01-12,29885.67
2020-01-13,31779.42
2020-01-14,25703.38
2020-01-15,29819.46
2020-01-16,23657.47
2020-01-17,36190.11
2020-01-18,34380.87
2020-01-19,30065.46
2020-01-20,31017.46
2020-01-21,30047.899999999998
2020-01-22,29772.01
2020-01-23,26601.63
2020-01-24,25861.98
2020-01-25,33101.48
2020-01-26,34789.43
2020-01-27,30758.96
2020-01-28,29249.1
2020-01-29,29864.86
2020-01-30,21021.05
2020-01-31,33896.85
2020-02-01,34984.299999999996
2020-02-02,32228.66
2020-02-03,22539.489999999998
2020-02-04,21912.86
2020-02-05,37932.84
2020-02-06,28861.18
2020-02-07,27814.88
2020-02-08,32207.19
2020-02-09,30694.02
2020-02-10,30679.010000000002
2020-02-11,27226.760000000002
2020-02-12,29413.05
2020-02-13,30658.22
2020-02-14,18484.43
2020-02-15,32674.2
2020-02-16,38030.09
2020-02-17,31721.31
2020-02-18,27117.53
2020-02-19,29820.899999999998
2020-02-20,29223.7
2020-02-21,31044.5
2020-02-22,32773.12
2020-02-23,31141.07
2020-02-24,31479.47
2020-02-25,29412.09
2020-02-26,34690.71
2020-02-27,35738.06
2020-02-28,20367.12
2020-02-29,30866.98
2020-03-01,25114.64
2020-03-02,31668.67
2020-03-03,37931.58
2020-03-04,31415.079999999998
2020-03-05,28272.8
2020-03-06,27902.06
2020-03-07,31454.87
2020-03-08,35638.439999999995
2020-03-09,33466.15
2020-03-10,23634.88
2020-03-11,28412.0
2020-03-12,28339.7
2020-03-13,30455.41
2020-03-14,38304.88
2020-03-15,37101.14
2020-03-16,35207.3
2020-03-17,30336.989999999998
2020-03-18,31519.44
2020-03-19,28731.64
2020-03-20,31010.079999999998
2020-03-21,33888.11
2020-03-22,37250.03
2020-03-23,24351.94
2020-03-24,29980.27
2020-03-25,20921.57
2020-03-26,25841.88
2020-03-27,21603.35
2020-03-28,38093.64
2020-03-29,30680.19
2020-03-30,20529.34
2020-03-31,36021.84
2020-04-01,36757.880000000005
2020-04-02,42199.16
2020-04-03,30228.3
2020-04-04,37190.76
2020-04-05,42444.75
2020-04-06,36757.59
2020-04-07,36233.18
2020-04-08,28406.489999999998
2020-04-09,30301.19
2020-04-10,31344.58
2020-04-11,33996.57
2020-04-12,32672.36
2020-04-13,41684.08
2020-04-14,33821.54
2020-04-15,45168.57
2020-04-16,39576.71
2020-04-17,29495.47
2020-04-18,40614.61
2020-04-19,20270.44
2020-04-20,23420.27
2020-04-21,26452.41
2020-04-22,27176.45
2020-04-23,34516.12
2020-04-24,29018.829999999998
2020-04-25,31901.91
2020-04-26,31612.13
2020-04-27,29367.19
2020-04-28,34855.84
2020-04-29,27837.87
2020-04-30,27954.54
2020-05-01,25828.31
2020-05-02,37088.19
2020-05-03,44222.56
2020-05-04,29269.329999999998
2020-05-05,29316.04
2020-05-06,33202.95
2020-05-07,34333.46
2020-05-08,22301.74
2020-05-09,32710.92
2020-05-10,33114.520000000004
2020-05-11,45970.42
2020-05-12,30333.09
2020-05-13,30012.06
2020-05-14,28680.95
2020-05-15,37364.36
2020-05-16,33512.93
2020-05-17,33793.11
2020-05-18,29045.04
2020-05-19,32870.45
2020-05-20,34223.57
2020-05-21,27497.55
2020-05-22,28615.36
2020-05-23,40171.11
2020-05-24,34957.82
2020-05-25,24366.309999999998
2020-05-26,29182.79
2020-05-27,34933.19
2020-05-28,27698.33
2020-05-29,27647.97
2020-05-30,33848.29
2020-05-31,33030.86
2020-06-01,28834.52
2020-06-02,26601.78
2020-06-03,33377.88
2020-06-04,28148.84
2020-06-05,26588.12
2020-06-06,28063.83
2020-06-07,31751.45
2020-06-08,34036.17
2020-06-09,23539.65
2020-06-10,37723.68
2020-06-11,25013.66
2020-06-12,31480.72
2020-06-13,25001.57
2020-06-14,38085.97
2020-06-15,31703.74
2020-06-16,29645.399999999998
2020-06-17,41764.32
2020-06-18,26244.739999999998
2020-06-19,21780.9
2020-06-20,34580.88
2020-06-21,27792.43
2020-06-22,21935.85
2020-06-23,29013.17
2020-06-24,27602.04
2020-06-25,35514.48
2020-06-26,24804.04
2020-06-27,24787.85
2020-06-28,34777.72
2020-06-29,28720.84
2020-06-30,22042.13
2020-07-01,37637.82
2020-07-02,34748.04
2020-07-03,39513.59
2020-07-04,32344.37
2020-07-05,34983.07
2020-07-06,36069.08
2020-07-07,31381.51
2020-07-08,32146.19
2020-07-09,27516.75
2020-07-10,32239.09
