ds,yhat,yhat_lower,yhat_upper
2020-01-01,29215.691935179213,22056.872608426216,36060.80643164554
2020-01-02,29059.98848516421,22346.025543958225,36239.157609288966
2020-01-03,29444.98446888287,22450.918026127914,36714.26139024013
2020-01-04,31737.458457323093,24600.258736781758,39018.20508634288
2020-01-05,32134.10603715742,25222.515672307214,39019.950900282674
2020-01-06,29894.44448777289,23322.974059446,36964.297602315804
2020-01-07,29163.962436916132,22523.952145297804,35233.69864559653
2020-01-08,29392.618467041255,22163.29674743045,36301.64156940686
2020-01-09,29254.711436352914,21877.5012550952,35959.87560296507
2020-01-10,29647.951531153598,22741.761397056718,36654.69232449191
2020-01-11,31940.340557617477,24630.55565873225,39094.44050957754
2020-01-12,32323.01535127438,25584.349816534937,39302.210455159824
2020-01-13,30054.55736418764,23188.49422313892,36979.508222834185
2020-01-14,29286.65861991446,22334.123989572883,36165.650102613625
2020-01-15,29469.35461899845,22499.44184594884,36413.75311612611
2020-01-16,29276.296288189173,22192.989151676073,36277.96480203921
2020-01-17,29607.933301341352,22791.92486560011,37194.10220124818
2020-01-18,31835.926064769646,24732.73044254173,39169.02402053761
2020-01-19,32148.136086111645,24676.406085500672,38728.13927197283
2020-01-20,29804.271872788137,23214.78384999036,36599.155321662234
2020-01-21,28964.009101896874,22072.950037053914,35625.99283773628
2020-01-22,29078.904004229098,21691.615055319697,36002.09814385625
2020-01-23,28823.02289466847,21559.26013242647,35422.1450339641
2020-01-24,29100.204716969773,21913.23094772056,35952.73132536336
2020-01-25,31285.983594623704,24059.463261510955,38153.15952399237
2020-01-26,31564.717523044976,25188.78634040035,38883.033942587535
2020-01-27,29196.574657067176,22381.061313975846,36010.084289501254
2020-01-28,28348.124350537822,21420.074072365118,35155.162870680506
2020-01-29,28470.95976030554,21934.247031582585,35481.56742314412
2020-01-30,28237.724957551127,21086.474580159516,34914.59670663242
2020-01-31,28553.506811937845,21778.54904858327,36037.44022093056
2020-02-01,30795.326916120914,23830.83470530326,37785.40369617191
2020-02-02,31141.47443880911,24452.340234276762,38298.47659160747
2020-02-03,28849.903812988498,21980.68199006196,36109.82340748413
2020-02-04,28091.37083524103,20531.3823012251,35091.19996977874
2020-02-05,28314.839779574082,21450.82738753778,35138.99062394792
2020-02-06,28188.982374714305,21333.350279937637,35424.326630369695
2020-02-07,28617.77023775585,21428.777608729433,35302.19021377661
2020-02-08,30977.602328223387,24340.56928343976,38430.6171417843
2020-02-09,31438.90123092996,24171.109511872124,38753.53229942871
2020-02-10,29255.972990537608,21805.29191741521,36260.77526697229
